patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SampEn,ApEn
10_lead_LII,0,120,414.7251,413.3333,420,0.658502,10.1868,138.1615,16.66667,25.66129,15.79653,0.007042254,285,0.9940403,5,76.07423,360.0254,205.0998,335.0519,0.61,976.2513,5,-1.61036,1.125,0.5525486,0.6036804
10_lead_LII,10,130,412.3024,413.3333,420,0.1121902,-0.08317112,2.042228,16.66667,10.59199,5.096765,0,291,0.994615,5,14.17135,217.4199,18.87363,9.627197,1.96,260.0921,5,-1.557018,1.057692,1.5999,1.048765
10_lead_LII,20,140,413.3103,413.3333,420,0.1551706,0.4453545,2.854139,16.66667,12.45675,5.458593,0,290,0.9954771,5,1.361637,278.5093,55.13118,14.40615,3.83,349.4083,5,-1.535088,1.003236,1.58662,0.9674134
10_lead_LII,30,150,413.7126,413.3333,406.6667,0.1651382,0.4105329,2.616447,20,12.85061,5.472661,0,290,0.9951897,5,12.36361,312.1333,40.7633,13.85974,2.94,379.12,5,-1.392544,1.261905,1.579825,0.9504469
10_lead_LII,40,160,413.2644,413.3333,406.6667,0.1573193,0.4884707,2.874442,16.66667,12.5427,5.713256,0,290,0.994615,5,38.49057,283.7109,33.29464,15.91895,2.09,371.4151,5,-1.314103,1.156958,1.590558,0.9351146
10_lead_LII,50,170,413.1379,413.3333,410,0.1522493,0.5019673,3.005585,16.66667,12.33893,5.559783,0,290,0.994615,5,59.99113,269.2302,28.46542,14.35933,1.98,372.0461,5,-1.285141,1.216667,1.597563,0.9601175
10_lead_LII,60,180,413.7471,413.3333,410,0.1541534,0.3859639,2.872843,16.66667,12.41585,5.614832,0,290,0.9943276,5,69.11743,267.3335,27.97872,16.46465,1.7,380.8943,5,-1.335341,1.29902,1.576769,0.9237385
10_lead_LII,70,190,415.8708,416.6667,413.3333,0.1511777,0.1047635,2.771143,16.66667,12.29543,5.699523,0,289,0.9943276,5,64.22301,247.7012,39.6245,18.54752,2.14,370.0963,5,-1.378601,1.314103,1.671584,0.9604736
10_lead_LII,80,200,418.8269,420,413.3333,0.1319913,0.1073089,2.88956,16.66667,11.48875,6.027005,0,287,0.9948255,5,48.10579,193.3916,45.62922,22.3997,2.04,309.5263,5,-1.349206,1.323988,1.724724,0.9631036
10_lead_LII,90,210,422.23,420,413.3333,0.1255158,0.3468882,2.594026,16.66667,11.20338,6.275322,0,284,0.9950085,5,42.80945,176.8446,46.61426,20.7652,2.24,287.0335,5,-1.388889,1.261062,1.770681,0.9680094
