patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SampEn,ApEn
9_lead_aVR,0,120,,,,,,,,,,,,,2,,,,,,,2,,,,
9_lead_aVR,10,130,,,,,,,,,,,,,2,,,,,,,2,,,,
9_lead_aVR,20,140,,,,,,,,,,,,,2,,,,,,,2,,,,
9_lead_aVR,30,150,,,,,,,,,,,,,2,,,,,,,2,,,,
9_lead_aVR,40,160,,,,,,,,,,,,,2,,,,,,,2,,,,
9_lead_aVR,50,170,,,,,,,,,,,,,2,,,,,,,2,,,,
9_lead_aVR,60,180,,,,,,,,,,,,,2,,,,,,,2,,,,
9_lead_aVR,70,190,,,,,,,,,,,,,2,,,,,,,2,,,,
9_lead_aVR,80,200,400.77098,403.33333,406.66667,0.62610057,0.137258,3.9100915,23.333333,25.022002,15.71335,0.013651877,294,0.91163095,5,194.34177,693.70106,360.75939,172.05368,2.1,1420.8559,5,-3.0503145,3.3974359,1.0227701,0.89485796
9_lead_aVR,90,210,406.89498,406.66667,406.66667,0.47677091,0.66718456,3.9666797,23.333333,21.835084,14.914802,0.0068728522,292,0.94835328,5,116.69405,439.27848,301.15379,172.37931,1.75,1029.5056,5,-3.2507508,3.877551,2.113367,0.55864508
9_lead_aVR,100,220,411.82759,406.66667,406.66667,0.4299817,1.060667,4.7551159,26.666667,20.736,15.738882,0.010380623,290,0.9823601,5,75.283782,258.96342,307.99824,220.78428,1.4,863.02973,5,-3.780303,4.0979381,2.1477205,0.58287212
9_lead_aVR,110,230,414.86111,413.33333,406.66667,0.43188153,0.95648803,4.3829528,23.333333,20.78176,16.316887,0.010452962,288,0.9872092,5,67.453797,292.15563,265.52534,229.80788,1.16,854.94264,5,-3.5091743,4.2525773,2.5985416,0.5615323
9_lead_aVR,120,240,416.17886,413.33333,406.66667,0.3870184,0.88307681,4.2560683,23.333333,19.672783,14.524314,0.006993007,287,0.98690056,5,80.609226,271.4143,255.42985,195.83506,1.3,803.28843,5,-3.4439528,4.3859649,2.6320398,0.57526096
9_lead_aVR,130,250,419.55711,416.66667,406.66667,0.42600199,1.0048783,4.2950194,23.333333,20.639816,15.125208,0.0070175439,286,0.98659192,5,104.27355,311.54836,251.64847,228.83791,1.1,896.3083,5,-3.3630952,4.3637993,2.8261711,0.55999143
9_lead_aVR,140,260,419.8951,416.66667,406.66667,0.39823457,1.0019565,4.5779144,23.333333,19.955816,14.880944,0.0070175439,286,0.98709186,5,94.038166,324.47742,199.43997,210.96416,0.95,828.91972,5,-3.7053571,5.3457447,2.9718829,0.5747029
9_lead_aVR,150,270,422.57042,420,406.66667,0.35603154,1.0932425,4.839039,20,18.868798,15.209569,0.0070671378,284,0.99363133,5,48.659777,198.42965,223.723,222.86816,1,693.68059,5,-3.7865497,5.2930403,3.2117836,0.58344123
9_lead_aVR,160,280,425.53191,423.33333,423.33333,0.35987818,1.0228055,4.4993422,23.333333,18.970455,15.488615,0.0071174377,282,0.99434452,5,38.849224,175.55328,207.4517,268.89529,0.77,690.74949,5,-3.8363363,5.0732601,2.7496975,0.5811158
9_lead_aVR,170,290,427.76119,423.33333,423.33333,0.40520618,1.2735127,5.6017129,23.333333,20.129734,16.574025,0.011235955,268,,5,36.409728,194.57098,210.13295,323.52868,0.65,764.64234,5,-4.3151815,5.4261364,2.7897625,0.5418968
