patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SampEn,ApEn
10_lead_LIII,0,120,412.3626,413.3333,406.6667,0.1944768,-2.081777,18.51515,16.66667,13.9455,8.224643,0.007042254,285,0.9620147,5,25.99526,225.074,60.52067,70.34199,0.86,381.9319,5,-1.962025,1.315359,1.716406,0.9823856
10_lead_LIII,10,130,412.291,413.3333,420,0.1177986,-0.08162539,2.039899,16.66667,10.85351,6.127634,0,291,0.9621778,5,14.22901,217.4784,19.08092,12.34679,1.55,263.1351,5,-1.967871,1.316199,1.718349,1.036342
10_lead_LIII,20,140,413.3333,413.3333,406.6667,0.1609756,0.3957204,2.719489,16.66667,12.68762,6.311687,0,288,0.9630399,5,1.375863,282.9592,53.05926,15.99176,3.32,353.3861,5,-2.083333,1.269113,1.693244,0.9603239
10_lead_LIII,30,150,413.7384,413.3333,406.6667,0.1695992,0.3489134,2.508507,20,13.02302,6.083685,0,288,0.9627525,5,12.48273,316.6671,38.502,14.53269,2.65,382.1845,5,-1.951477,1.486486,1.767574,0.9650014
10_lead_LIII,40,160,413.287,413.3333,406.6667,0.1618252,0.4217566,2.733246,16.66667,12.72105,6.360569,0,288,0.9639033,5,39.10282,287.8476,31.18488,17.19126,1.81,375.3265,5,-1.753247,1.299694,1.733473,0.9460569
10_lead_LIII,50,170,413.1481,413.3333,410,0.1565277,0.4462344,2.873796,16.66667,12.5111,6.293259,0,288,0.9762432,5,60.86572,273.0816,26.04201,15.82683,1.65,375.8162,5,-1.762821,1.358025,1.73271,0.9449345
10_lead_LIII,60,180,413.7731,413.3333,406.6667,0.1586135,0.330794,2.745263,16.66667,12.59418,6.430184,0,288,0.9787336,5,69.59125,271.2454,25.94839,16.79675,1.54,383.5818,5,-1.687243,1.444954,1.716977,0.9164501
10_lead_LIII,70,190,415.9117,416.6667,426.6667,0.154634,0.05604248,2.682025,16.66667,12.43519,6.429342,0,287,0.9815114,5,63.93506,250.8929,37.31015,18.44781,2.02,370.5859,5,-1.687243,1.554054,1.80191,0.9327842
10_lead_LIII,80,200,418.8889,420,426.6667,0.1345592,0.0211661,2.815152,16.66667,11.59997,6.695945,0,285,0.9929949,5,47.63602,196.9033,42.12375,21.23288,1.98,307.896,5,-1.636179,1.590214,1.846145,0.9268577
10_lead_LIII,90,210,422.305,420,426.6667,0.1273294,0.2401897,2.551978,16.66667,11.28403,6.816234,0,282,0.9931779,5,42.27881,180.1344,42.79286,18.81928,2.27,284.0254,5,-1.498016,1.469697,1.80391,0.9387552
10_lead_LIII,100,220,424.9524,423.3333,436.6667,0.1123036,0.2095011,2.32435,16.66667,10.59734,6.785089,0,280,0.9925401,5,32.59193,164.0897,29.39465,17.13113,1.72,243.2074,5,-1.230159,1.313814,1.780589,0.9735475
