names,session,visit,lead,n_nmean,sdnn,rmssd,pnn50,ulf,vlf,lf,hf,lfhf,ttlpwr,ac,dc,samp_en,ap_en
rrj11,17,2,aVF,355.4154,7.285712,2.043308666244921,0.006024096,15.59575,46.92783,2.9973080313952423,2.9355023238442732,1.06,101.3861,-1.04811,0.9210526,1.398024,1.146198
rrj11,17,2,aVL,355.4747,7.026284,1.89712003488588,0.003039514,16.01078,47.54833,3.0009197950676962,3.0265601730634413,0.97,104.2893,-0.9259259,0.8552632,1.382378,1.139597
rrj11,17,2,aVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rrj11,17,2,LI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rrj11,17,2,LII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rrj11,17,2,LIII,355.4454,7.135388,1.9610064810013301,0.006024096,15.9583,48.50002,2.975460176073928,2.9343944912490563,1.04,102.8671,-1.016667,0.8615819,1.398024,1.127692
rrj11,17,2,Vx,358.09082,53.796847,4.291143987614904,0.0062111801,75.38818,361.81823,6.475599220561122,7.221092671204697,0.47,2454.2974,-0.95833333,0.97101449,0.17853162,0.22867367
rrj11,19,3,aVF,340.1180375,3.509082,1.5544981061280037,8.9775675e-4,2.131152135,9.500909,1.0126684428453379,0.7211702970579318,1.39375,16.545598875,-0.6423570000000001,0.5053140125,1.06955675625,1.084879625
rrj11,19,3,aVL,338.39061304347825,4.874120608695652,1.8153657531153842,0.0033590161739130435,4.970411246956521,22.836504869565218,1.3216465031901925,1.0112423572700528,1.4543478260869565,36.176989,-0.7146774521739131,0.6315566913043478,1.2137545217391303,1.1226751260869565
rrj11,19,3,aVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rrj11,19,3,LI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rrj11,19,3,LII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rrj11,19,3,LIII,338.4045652173913,4.126141304347826,1.5842726894295232,0,4.764021266956521,21.82092908695652,1.36341159606124,0.7739734598651884,2.022173913043478,33.48441469565218,-0.6625412260869565,0.5100512217391304,1.0776251173913043,1.0650967304347827
