patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SampEn,ApEn
5_lead_LII,0,30,354.2857,353.3333,353.3333,0.007114171,-0.1303587,2.251821,3.333333,2.66724,2.663653,0,84,0.6573649,5,0.3353749,7.464116,3.884725,1.440963,2.7,13.12518,5,,,0.8616109,0.8158498
5_lead_LII,10,40,351.5891,353.3333,356.6667,0.0380985,-0.8408736,2.419133,10,6.172398,2.60718,0,86,0.6236782,5,6.172269,80.79222,24.41533,4.498706,5.43,115.8785,5,,,0.8157875,0.6937624
5_lead_LII,20,50,345.3101,343.3333,336.6667,0.06467396,0.2012821,1.592163,16.66667,8.042012,2.681332,0,86,0.6315145,5,13.47878,169.3976,23.46016,3.29354,7.12,209.6301,5,,,0.9348144,0.6691282
5_lead_LII,30,60,343.5249,343.3333,336.6667,0.04427812,0.5467451,2.59456,10,6.654181,2.875541,0,87,,5,1.461603,68.07973,40.08103,6.866309,5.84,116.4887,5,,,1.164527,0.7449777
5_lead_LII,,,,,,,,,,,,,,,3,,,,,,,3,,,,
5_lead_LII,,,,,,,,,,,,,,,3,,,,,,,3,,,,
5_lead_LII,,,,,,,,,,,,,,,3,,,,,,,3,,,,
5_lead_LII,70,100,357.0667,360,363.3333,0.1225105,1.956452,12.68712,13.33333,11.06845,10.26671,0.02702703,75,0.8667511,5,12.79361,148.55,36.76228,41.75687,0.88,239.8627,5,,,1.176574,0.649129
5_lead_LII,80,110,354.0562,353.3333,360,0.05312959,0.4318789,5.067201,10,7.289005,7.886388,0.01219512,83,0.7874442,5,0.593577,43.99778,33.92494,19.5086,1.74,98.0249,5,,,1.176777,0.6941971
5_lead_LII,,,,,,,,,,,,,,,3,,,,,,,3,,,,
5_lead_LII,,,,,,,,,,,,,,,3,,,,,,,3,,,,
5_lead_LII,,,,,,,,,,,,,,,3,,,,,,,3,,,,
5_lead_LII,120,150,353.5938,353.3333,353.3333,0.2332644,0.2376674,9.330348,6.666667,15.273,23.33333,0.06349206,64,0.7549337,5,0.2950477,3.422885,28.25967,55.2772,0.51,87.2548,5,,,1.550148,0.6778105
5_lead_LII,130,160,353.1727,353.3333,353.3333,0.1181311,0.6526524,16.8815,3.333333,10.86881,16.58517,0.03658537,83,0.7094645,5,0.05700095,0.8961424,18.2012,32.84956,0.55,52.0039,5,,,0.8358345,0.7335936
5_lead_LII,140,170,352.0889,353.3333,350,0.09692893,1.788313,23.6679,3.333333,9.845249,12.9911,0.02702703,75,0.6884731,5,0.2943273,3.181149,20.09648,33.09299,0.61,56.66494,5,,,0.6434424,0.6018411
5_lead_LII,150,180,352.4359,353.3333,353.3333,0.008852259,-0.1089801,2.684562,3.333333,2.975275,2.991088,0,78,0.6679277,5,0.02937167,5.168803,7.828059,2.321207,3.37,15.34744,5,,,0.9713191,0.8378081
5_lead_LII,160,190,353.913,353.3333,350,0.07874396,-0.5698834,20.15134,6.666667,8.873779,13.37005,0.01470588,69,0.7335116,5,2.510763,30.24733,14.99892,12.77843,1.17,60.53545,5,,,0.9909816,0.7193145
5_lead_LII,170,200,356.5657,356.6667,360,0.07862212,-1.340988,22.31242,6.666667,8.866911,13.67511,0.01538462,66,0.7081129,5,1.532058,21.18551,9.683374,10.79865,0.9,43.19959,5,,,0.932185,0.7462383
5_lead_LII,180,210,358.254,360,360,0.07378392,-2.053167,27.9084,3.333333,8.589757,12.77037,0.01612903,63,0.7796281,5,0.06024167,2.263882,4.553984,8.589891,0.53,15.468,5,,,0.9920563,0.7789959
5_lead_LII,190,220,353.1019,356.6667,343.3333,0.0501804,-0.4495052,2.100254,13.33333,7.083813,3.18938,0,72,0.7132827,5,7.66221,82.90907,44.87017,11.60272,3.87,147.0442,5,,,1.186763,0.6733316
5_lead_LII,200,230,346.6275,346.6667,343.3333,0.09034236,-0.2979792,2.061125,16.66667,9.50486,3.21208,0,85,0.6702788,5,11.58961,187.4849,71.53241,4.096616,17.46,274.7035,5,,,1.278427,0.6434083
5_lead_LII,,,,,,,,,,,,,,,3,,,,,,,3,,,,
5_lead_LII,,,,,,,,,,,,,,,3,,,,,,,3,,,,
5_lead_LII,,,,,,,,,,,,,,,3,,,,,,,3,,,,
5_lead_LII,,,,,,,,,,,,,,,3,,,,,,,3,,,,
5_lead_LII,250,280,,,,,,,,,,,,,2,,,,,,,2,,,,
5_lead_LII,260,290,,,,,,,,,,,,,2,,,,,,,2,,,,
5_lead_LII,270,300,,,,,,,,,,,,,2,,,,,,,2,,,,
5_lead_LII,280,310,355.1765,363.3333,366.6667,0.2779116,-1.171458,5.461744,24.16667,16.67068,15.20582,0.01190476,85,0.7359705,5,38.70789,485.0915,130.5753,23.99146,5.44,678.3662,5,,,1.288089,0.5809949
5_lead_LII,290,320,363.2099,363.3333,363.3333,0.03179012,0.3078151,5.721568,6.666667,5.638273,6.078194,0,81,0.7472459,5,0.3081975,25.56894,16.52851,6.774564,2.44,49.18021,5,,,1.286869,0.8118099
5_lead_LII,300,330,356.214,360,366.6667,0.1724314,-1.317766,6.359306,20,13.13131,9.044642,0,81,0.6020274,5,26.12871,295.2795,56.06537,61.04127,0.92,438.5149,5,,,1.265666,0.5535444
5_lead_LII,310,340,,,,,,,,,,,,,2,,,,,,,2,,,,
5_lead_LII,320,350,,,,,,,,,,,,,2,,,,,,,2,,,,
5_lead_LII,330,360,,,,,,,,,,,,,2,,,,,,,2,,,,
