monkey,lead,tot_wind,not_analyzed,percent_not_analyzed
1,LII,31,0,0
1,LII,49,0,0
10,aVF,99,99,100
10,aVF,117,37,31.6239
10,aVL,67,0,0
10,aVL,85,0,0
10,aVR,103,103,100
10,aVR,121,121,100
10,LI,93,93,100
10,LI,111,107,96.3964
10,LII,117,117,100
10,LII,135,123,91.1111
10,LIII,81,45,55.5556
10,LIII,99,0,0
10,Vx,169,169,100
10,Vx,187,187,100
11,aVF,90,90,100
11,aVF,108,108,100
11,aVL,73,73,100
11,aVL,91,91,100
11,aVR,54,54,100
11,aVR,72,72,100
11,LI,55,55,100
11,LI,73,2,2.7397
11,LII,84,84,100
11,LII,102,102,100
11,LIII,100,100,100
11,LIII,118,118,100
11,Vx,52,2,3.8462
11,Vx,70,8,11.4286
12,aVF,363,362,99.7245
12,aVF,381,361,94.7507
12,aVL,265,265,100
12,aVL,283,251,88.6926
12,aVR,259,259,100
12,aVR,277,123,44.4043
12,LI,219,219,100
12,LI,237,143,60.3376
12,LII,367,367,100
12,LII,385,367,95.324700000000007
12,LIII,364,364,100
12,LIII,382,286,74.8691
12,Vx,391,391,100
12,Vx,409,396,96.8215
13,aVF,337,337,100
13,aVF,355,337,94.9296
13,aVL,316,267,84.4937
13,aVL,334,189,56.5868
13,aVR,231,231,100
13,aVR,249,249,100
13,LI,267,98,36.7041
13,LI,285,25,8.7719
13,LII,309,293,94.822
13,LII,327,147,44.9541
13,LIII,381,374,98.1627
13,LIII,399,346,86.7168
13,Vx,252,252,100
13,Vx,270,269,99.6296
14,aVF,358,347,96.9274
14,aVF,376,298,79.2553
14,aVL,399,399,100
14,aVL,417,406,97.3621
14,aVR,255,255,100
14,aVR,273,245,89.7436
14,LI,363,363,100
14,LI,381,349,91.601
14,LII,285,285,100
14,LII,303,303,100
14,LIII,460,448,97.3913
14,LIII,478,437,91.4226
14,Vx,208,208,100
14,Vx,226,226,100
15,aVF,138,138,100
15,aVF,156,156,100
15,aVL,118,118,100
15,aVL,136,21,15.4412
15,aVR,139,139,100
15,aVR,157,157,100
15,LI,138,138,100
15,LI,156,82,52.5641
15,LII,160,160,100
15,LII,178,178,100
15,LIII,133,95,71.4286
15,LIII,151,54,35.7616
15,Vx,150,150,100
15,Vx,168,164,97.619
16,aVF,361,361,100
16,aVF,379,379,100
16,aVL,355,355,100
16,aVL,373,373,100
16,aVR,220,220,100
16,aVR,238,238,100
16,LI,298,298,100
16,LI,316,316,100
16,LII,297,297,100
16,LII,315,315,100
16,LIII,438,438,100
16,LIII,456,451,98.9035
16,Vx,228,228,100
16,Vx,246,235,95.5285
17,aVF,171,171,100
17,aVF,189,189,100
17,aVL,135,116,85.9259
17,aVL,153,21,13.7255
17,aVR,117,117,100
17,aVR,135,37,27.4074
17,LI,106,26,24.5283
17,LI,124,13,10.4839
17,LII,166,166,100
17,LII,184,184,100
17,LIII,175,175,100
17,LIII,193,193,100
17,Vx,168,155,92.2619
17,Vx,186,108,58.0645
18,aVF,87,87,100
18,aVF,105,56,53.3333
18,aVL,91,91,100
18,aVL,109,5,4.5872
18,aVR,85,85,100
18,aVR,103,103,100
18,LI,96,96,100
18,LI,114,7,6.1404
18,LII,93,93,100
18,LII,111,107,96.3964
18,LIII,96,33,34.375
18,LIII,114,25,21.9298
18,Vx,76,76,100
18,Vx,94,50,53.1915
19,aVF,160,160,100
19,aVF,178,81,45.5056
19,aVL,132,115,87.1212
19,aVL,150,55,36.6667
19,aVR,141,141,100
19,aVR,159,136,85.5346
19,LI,135,134,99.2593
19,LI,153,110,71.8954
19,LII,168,168,100
19,LII,186,64,34.4086
19,LIII,160,152,95
19,LIII,178,80,44.9438
19,Vx,141,141,100
19,Vx,159,113,71.0692
3,LII,31,28,90.3226
3,LII,49,6,12.2449
4,LII,25,25,100
4,LII,43,43,100
5,LII,31,29,93.5484
5,LII,49,37,75.5102
6,LII,31,31,100
6,LII,49,49,100
7,aVF,66,66,100
7,aVF,84,84,100
7,aVL,72,72,100
7,aVL,90,90,100
7,aVR,39,34,87.1795
7,aVR,57,4,7.0175
7,LI,61,61,100
7,LI,79,66,83.5443
7,LII,51,51,100
7,LII,69,69,100
7,LIII,85,85,100
7,LIII,103,103,100
7,Vx,76,76,100
7,Vx,94,94,100
8,aVF,178,178,100
8,aVF,196,196,100
8,aVL,237,237,100
8,aVL,255,255,100
8,aVR,153,79,51.634
8,aVR,171,51,29.8246
8,LI,228,228,100
8,LI,246,246,100
8,LII,132,132,100
8,LII,150,150,100
8,LIII,247,219,88.664
8,LIII,265,53,20
8,Vx,114,114,100
8,Vx,132,37,28.0303
9,aVF,31,31,100
9,aVF,49,49,100
9,aVL,25,0,0
9,aVL,43,0,0
9,aVR,18,18,100
9,aVR,36,28,77.7778
9,LI,19,0,0
9,LI,37,0,0
9,LII,30,30,100
9,LII,48,47,97.9167
9,LIII,34,34,100
9,LIII,52,51,98.0769
9,Vx,27,27,100
9,Vx,45,15,33.3333
